City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Louiseville,CA,46.2559,-72.9415,10.4,56,5,8.05,clear sky
1,Evensk,RU,61.95,159.2333,3.4,88,100,26.82,overcast clouds
2,Klaksvik,FO,62.2266,-6.589,32.0,55,43,26.46,scattered clouds
3,Jamestown,US,42.097,-79.2353,18.0,79,1,5.75,clear sky
4,Qaanaaq,GL,77.484,-69.3632,-5.31,75,99,2.66,overcast clouds
5,Isangel,VU,-19.55,169.2667,84.2,74,75,11.5,broken clouds
6,Manono,CD,-7.3,27.4167,68.85,94,100,1.83,light rain
7,Rikitea,PF,-23.1203,-134.9692,79.5,70,0,11.32,clear sky
8,Cape Town,ZA,-33.9258,18.4232,69.01,77,75,5.75,broken clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,74,40,5.75,scattered clouds
10,Avarua,CK,-21.2078,-159.775,82.4,69,90,4.61,light rain
11,Atuona,PF,-9.8,-139.0333,79.07,75,44,17.13,scattered clouds
12,Asfi,MA,32.2994,-9.2372,58.75,86,81,9.6,broken clouds
13,New Norfolk,AU,-42.7826,147.0587,73.99,40,3,3.0,clear sky
14,Hoorn,NL,52.6431,5.0578,30.0,90,0,9.91,clear sky
15,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,20,6.91,few clouds
16,Touros,BR,-5.1989,-35.4608,77.0,88,20,3.44,few clouds
17,Punta Arenas,CL,-53.15,-70.9167,48.2,71,0,17.27,clear sky
18,Bluff,NZ,-46.6,168.3333,58.37,70,99,9.71,overcast clouds
19,Newport,GB,51.5877,-2.9984,37.99,90,68,1.99,broken clouds
20,Nizhniy Tsasuchey,RU,50.5167,115.1333,-15.03,85,100,7.99,overcast clouds
21,Shimoda,JP,34.6667,138.95,50.0,57,20,5.75,few clouds
22,Berlevag,NO,70.8578,29.0864,26.6,80,0,14.97,light snow
23,Kapaa,US,22.0752,-159.319,77.0,69,75,14.97,light rain
24,Pangai,TO,-19.8,-174.35,80.92,81,100,18.99,moderate rain
25,East London,ZA,-33.0153,27.9116,70.3,84,80,3.04,broken clouds
26,Kodiak,US,57.79,-152.4072,32.0,51,1,19.57,clear sky
27,Tamandare,BR,-8.7597,-35.1047,77.65,83,100,8.39,overcast clouds
28,Kutahya,TR,39.4242,29.9833,35.6,100,40,4.61,mist
29,Portland,US,45.5234,-122.6762,48.0,81,90,12.66,light rain
30,Hasaki,JP,35.7333,140.8333,48.2,40,20,11.5,few clouds
31,Asahi,JP,35.7167,140.65,48.2,40,20,11.5,few clouds
32,Fort Nelson,CA,58.8053,-122.7002,-9.4,77,40,2.3,scattered clouds
33,Ribeira Grande,PT,38.5167,-28.7,63.12,92,98,20.49,overcast clouds
34,Batemans Bay,AU,-35.7167,150.1833,69.01,78,100,1.99,overcast clouds
35,Pevek,RU,69.7008,170.3133,-33.29,84,6,1.86,clear sky
36,La Palma,US,33.8464,-118.0467,59.0,76,1,5.75,clear sky
37,Gat,IL,31.61,34.7642,55.0,58,0,11.83,clear sky
38,Aksu,CN,41.1231,80.2644,14.81,86,10,2.28,clear sky
39,Chuy,UY,-33.6971,-53.4616,68.83,93,100,13.33,overcast clouds
40,Hobart,AU,-42.8794,147.3294,73.99,45,75,14.97,broken clouds
41,Bubaque,GW,11.2833,-15.8333,79.05,64,99,9.13,overcast clouds
42,Hofn,IS,64.2539,-15.2082,23.18,83,0,16.06,clear sky
43,Latung,PH,5.5,120.8833,81.1,77,100,13.06,overcast clouds
44,Dingle,PH,10.9995,122.6711,79.63,78,86,17.38,overcast clouds
45,Westport,US,41.1415,-73.3579,24.8,42,1,4.61,clear sky
46,Vaini,TO,-21.2,-175.2,86.0,79,75,13.8,broken clouds
47,Arman,RU,59.7,150.1667,-11.02,78,66,18.48,broken clouds
48,Zhangye,CN,38.9342,100.4517,23.76,67,0,3.24,clear sky
49,Albany,US,42.6001,-73.9662,16.0,78,6,3.0,clear sky
50,Ler,SS,8.3018,30.1418,71.65,22,20,5.95,few clouds
51,Saint-Pierre,RE,-21.3393,55.4781,78.8,65,0,3.44,clear sky
52,Vardo,NO,70.3705,31.1107,25.65,95,100,19.86,light snow
53,Mahebourg,MU,-20.4081,57.7,78.8,83,20,6.91,few clouds
54,Salisbury,GB,51.0693,-1.7957,37.99,81,90,13.8,overcast clouds
55,Nicoya,CR,10.1483,-85.452,80.6,54,0,24.16,clear sky
56,Evans,US,33.5337,-82.1307,46.4,42,75,5.75,broken clouds
57,Tari,NG,12.4086,4.4914,69.51,20,15,11.88,few clouds
58,Carnarvon,AU,-24.8667,113.6333,91.4,58,3,4.61,light rain
59,Dikson,RU,73.5069,80.5464,-34.1,80,0,6.55,clear sky
60,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,20,6.91,few clouds
61,Puerto Ayora,EC,-0.7393,-90.3518,78.01,89,42,5.01,scattered clouds
62,Atambua,ID,-9.1061,124.8925,74.77,93,100,6.51,overcast clouds
63,Srednekolymsk,RU,67.45,153.6833,-32.82,84,100,4.32,overcast clouds
64,Yalutorovsk,RU,56.6536,66.3006,10.31,96,100,6.55,overcast clouds
65,Bilibino,RU,68.0546,166.4372,-25.89,79,0,5.95,clear sky
66,Laguna,US,38.421,-121.4238,55.4,58,90,5.64,overcast clouds
67,Kraliky,CZ,50.0838,16.7605,24.01,90,24,3.4,few clouds
68,Butaritari,KI,3.0707,172.7902,81.21,79,62,18.5,broken clouds
69,Ola,RU,59.5833,151.2833,-11.9,81,36,16.98,scattered clouds
70,Marawi,PH,7.9986,124.2928,81.0,84,22,7.0,few clouds
71,Dickinson,US,29.4608,-95.0513,69.8,83,90,4.61,overcast clouds
72,Castro,BR,-24.7911,-50.0119,65.52,97,100,6.42,overcast clouds
73,Flinders,AU,-34.5833,150.8552,69.01,95,97,1.01,overcast clouds
74,Nara,JP,34.6851,135.8049,50.0,61,20,3.44,few clouds
75,Mataura,NZ,-46.1927,168.8643,71.82,37,98,3.74,overcast clouds
76,Pacific Grove,US,36.6177,-121.9166,53.6,71,1,4.23,clear sky
77,Wuwei,CN,37.9281,102.6414,27.97,63,0,5.3,clear sky
78,Yumen,CN,40.2833,97.2,23.94,70,0,22.86,clear sky
79,Faanui,PF,-16.4833,-151.75,82.06,69,54,8.84,broken clouds
80,Parit Buntar,MY,5.1267,100.4932,82.4,94,20,6.91,few clouds
81,Busselton,AU,-33.65,115.3333,82.99,47,0,3.0,clear sky
82,Pechenga,RU,69.5259,31.1703,24.8,93,75,8.05,light snow
83,Watertown,US,42.3709,-71.1828,17.01,48,1,12.66,clear sky
84,Mount Isa,AU,-20.7333,139.5,100.4,23,61,11.5,broken clouds
85,Lavrentiya,RU,65.5833,-171.0,-15.95,84,36,6.26,scattered clouds
86,Saskylakh,RU,71.9167,114.0833,-33.29,83,100,9.42,overcast clouds
87,Port-Gentil,GA,-0.7193,8.7815,76.89,81,100,7.76,overcast clouds
88,Okha,RU,53.5739,142.9478,-3.95,90,100,18.3,overcast clouds
89,Lagoa,PT,39.05,-27.9833,61.84,95,98,24.63,overcast clouds
90,Hermanus,ZA,-34.4187,19.2345,62.01,88,0,9.06,clear sky
91,Ushuaia,AR,-54.8,-68.3,50.0,66,20,24.16,few clouds
92,Hilo,US,19.7297,-155.09,78.8,57,90,9.22,light rain
93,Lasa,IT,46.6166,10.7002,36.0,100,90,3.44,light snow
94,Kiunga,PG,-6.1219,141.2906,82.67,84,68,3.22,broken clouds
95,Amapa,BR,1.0,-52.0,72.05,98,67,1.95,broken clouds
96,Zhangjiakou,CN,40.81,114.8794,25.83,80,0,1.9,clear sky
97,Iskateley,RU,67.6803,53.1512,0.32,92,99,11.14,overcast clouds
98,Acari,PE,-15.4311,-74.6158,73.62,59,100,4.5,overcast clouds
99,Juneau,US,58.3019,-134.4197,32.0,80,75,5.53,broken clouds
100,San Jorge,AR,-31.8962,-61.8598,66.0,89,100,1.99,overcast clouds
101,Tigil,RU,57.8,158.6667,4.41,92,100,12.1,overcast clouds
102,Lumphat,KH,13.4878,106.9816,78.37,53,0,9.42,clear sky
103,Sibu,MY,2.3,111.8167,77.0,88,40,2.3,scattered clouds
104,Tasiilaq,GL,65.6145,-37.6368,21.2,33,75,11.5,broken clouds
105,Pudozh,RU,61.8099,36.5345,9.9,96,17,5.06,few clouds
106,Khatanga,RU,71.9667,102.5,-47.16,78,40,0.85,scattered clouds
107,Tautira,PF,-17.7333,-149.15,84.0,74,75,19.57,light rain
108,Lebu,CL,-37.6167,-73.65,55.94,87,1,12.88,clear sky
109,Mayo,US,38.8876,-76.5119,30.2,64,1,2.51,clear sky
110,Paamiut,GL,61.994,-49.6678,25.21,88,23,15.95,few clouds
111,Provideniya,RU,64.3833,-173.3,-9.27,83,99,14.58,overcast clouds
112,Ancud,CL,-41.8697,-73.8203,54.0,76,0,3.44,clear sky
113,Kesinga,IN,20.2,83.2333,59.13,34,8,2.59,clear sky
114,Hithadhoo,MV,-0.6,73.0833,81.68,79,14,14.0,few clouds
115,Qasigiannguit,GL,68.8193,-51.1922,6.8,66,90,4.61,overcast clouds
116,Tabou,CI,4.423,-7.3528,78.37,88,16,7.85,few clouds
117,Pangnirtung,CA,66.1451,-65.7125,-6.79,76,89,3.0,overcast clouds
118,Poum,NC,-20.2333,164.0167,80.17,67,1,7.58,clear sky
119,Margate,GB,51.3813,1.3862,39.0,70,7,4.0,clear sky
120,Thompson,CA,55.7435,-97.8558,14.0,92,90,2.17,light snow
121,Velika Plana,RS,44.3339,21.0768,37.4,100,0,1.14,clear sky
122,Arraial Do Cabo,BR,-22.9661,-42.0278,76.82,83,2,26.22,clear sky
123,Seoul,KR,37.5683,126.9778,35.6,51,0,9.22,clear sky
124,Tuatapere,NZ,-46.1333,167.6833,67.68,46,100,1.72,overcast clouds
125,Yellowknife,CA,62.456,-114.3525,-11.99,77,20,3.44,few clouds
126,Gushi,CN,34.6425,109.5843,45.37,46,100,3.33,overcast clouds
127,Torbay,CA,47.6666,-52.7314,28.99,100,90,4.61,light snow
128,Ekibastuz,KZ,51.6667,75.3667,10.99,91,100,11.01,overcast clouds
129,Paka,MY,4.6374,103.4368,75.2,94,40,2.3,scattered clouds
130,Hovd,MN,48.0056,91.6419,6.62,83,2,1.39,clear sky
131,Saldanha,ZA,-33.0117,17.9442,63.48,92,0,2.06,clear sky
132,Souillac,MU,-20.5167,57.5167,78.8,83,40,6.91,scattered clouds
133,Mehamn,NO,71.0357,27.8492,26.6,80,0,14.97,light snow
134,Neustadt,DE,49.7117,12.0872,28.0,97,90,4.61,light snow
135,Faya,SA,18.3851,42.4509,53.6,66,0,3.74,clear sky
136,Bathsheba,BB,13.2167,-59.5167,78.8,73,75,19.57,broken clouds
137,Ponta Do Sol,PT,32.6667,-17.1,57.99,74,22,5.01,few clouds
138,Barrow,US,71.2906,-156.7887,-16.6,76,90,4.61,haze
139,Flin Flon,CA,54.7682,-101.865,6.39,95,99,2.82,overcast clouds
140,Sabang,ID,5.8933,95.3214,80.89,78,36,21.41,scattered clouds
141,Coquimbo,CL,-29.9533,-71.3436,64.4,94,90,3.44,overcast clouds
142,Zamora,EC,-4.0692,-78.9567,67.17,73,68,0.78,light rain
143,Chokurdakh,RU,70.6333,147.9167,-29.9,85,28,8.39,scattered clouds
144,Chyhyryn,UA,49.0838,32.6555,34.05,93,100,18.19,overcast clouds
145,Longyearbyen,SJ,78.2186,15.6401,-5.8,59,20,20.71,few clouds
146,Bonthe,SL,7.5264,-12.505,77.45,86,47,4.9,scattered clouds
147,Norman Wells,CA,65.282,-126.8329,-31.0,75,75,4.09,broken clouds
148,Hobyo,SO,5.3505,48.5268,75.4,75,66,15.23,broken clouds
149,Cabo San Lucas,MX,22.8909,-109.9124,68.0,82,20,3.44,few clouds
150,Sept-Iles,CA,50.2001,-66.3821,19.4,63,62,9.22,broken clouds
151,Half Moon Bay,US,37.4636,-122.4286,54.0,76,1,8.05,clear sky
152,Marzuq,YE,14.4,46.4667,57.04,61,0,2.8,clear sky
153,Buenos Aires,AR,-34.6132,-58.3772,63.0,82,75,8.05,broken clouds
154,Broken Hill,AU,-31.95,141.4333,80.6,32,70,14.97,broken clouds
155,Tiksi,RU,71.6872,128.8694,-27.26,86,100,4.83,overcast clouds
156,Tilichiki,RU,60.4667,166.1,-9.69,91,96,15.01,overcast clouds
