City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Medea,36.2642,2.7539,53.6,87,0,2.3,DZ,2021-01-29 22:36:48
1,Ushuaia,-54.8,-68.3,42.8,70,75,24.16,AR,2021-01-29 22:32:10
2,Sunel,24.3667,75.9667,50.65,44,0,3.56,IN,2021-01-29 22:36:49
3,Chokurdakh,70.6333,147.9167,-25.26,86,100,7.4,RU,2021-01-29 22:36:49
4,Vaini,-21.2,-175.2,75.2,94,90,11.5,TO,2021-01-29 22:36:49
5,Hermanus,-34.4187,19.2345,61.0,90,79,5.01,ZA,2021-01-29 22:32:36
6,Vikhorevka,56.1201,101.1636,-16.01,76,40,1.7,RU,2021-01-29 22:36:49
7,Requena,39.4883,-1.1004,64.4,55,0,5.75,ES,2021-01-29 22:36:49
8,Grand Gaube,-20.0064,57.6608,77.0,82,1,5.01,MU,2021-01-29 22:36:49
9,Rikitea,-23.1203,-134.9692,80.26,66,71,7.38,PF,2021-01-29 22:36:50
10,Carnarvon,-24.8667,113.6333,77.0,73,1,5.75,AU,2021-01-29 22:32:01
11,Sola,-13.8833,167.55,84.2,84,75,15.46,VU,2021-01-29 22:36:50
12,Kapaa,22.0752,-159.319,77.0,69,40,18.41,US,2021-01-29 22:32:08
13,Solnechnyy,50.7214,136.6319,-7.04,88,100,4.94,RU,2021-01-29 22:36:50
14,Ponta Do Sol,32.6667,-17.1,57.99,75,79,4.0,PT,2021-01-29 22:32:27
15,Mataura,-46.1927,168.8643,61.59,50,23,2.66,NZ,2021-01-29 22:36:50
16,Bredasdorp,-34.5322,20.0403,61.0,90,63,4.09,ZA,2021-01-29 22:36:51
17,Basco,20.4487,121.9702,68.99,71,100,25.21,PH,2021-01-29 22:36:51
18,Ballina,-28.8667,153.5667,78.8,78,75,4.61,AU,2021-01-29 22:36:51
19,Cherskiy,68.75,161.3,-33.38,83,28,4.25,RU,2021-01-29 22:36:51
20,Sao Filipe,14.8961,-24.4956,75.31,56,86,7.96,CV,2021-01-29 22:32:53
21,Iqaluit,63.7506,-68.5145,-13.0,77,90,34.52,CA,2021-01-29 22:33:50
22,Mangrol,21.1167,70.1167,61.66,32,48,12.53,IN,2021-01-29 22:36:51
23,Chilca,-12.5211,-76.7372,75.2,64,0,13.8,PE,2021-01-29 22:36:51
24,Dingle,10.9995,122.6711,74.08,90,100,11.81,PH,2021-01-29 22:36:52
25,Busselton,-33.65,115.3333,64.0,81,0,1.99,AU,2021-01-29 22:36:52
26,Punta Arenas,-53.15,-70.9167,50.0,57,40,19.57,CL,2021-01-29 22:36:30
27,New Norfolk,-42.7826,147.0587,70.0,63,52,5.01,AU,2021-01-29 22:36:52
28,Todos Santos,23.45,-110.2167,71.01,73,59,8.01,MX,2021-01-29 22:36:52
29,Lavrentiya,65.5833,-171.0,-15.66,81,0,11.97,RU,2021-01-29 22:36:52
30,Tasiilaq,65.6145,-37.6368,15.8,79,90,26.46,GL,2021-01-29 22:36:52
31,Upernavik,72.7868,-56.1549,-7.56,83,72,11.7,GL,2021-01-29 22:36:52
32,Hilo,19.7297,-155.09,78.8,69,90,6.67,US,2021-01-29 22:36:52
33,Albany,42.6001,-73.9662,15.01,68,46,1.99,US,2021-01-29 22:34:40
34,Isangel,-19.55,169.2667,84.2,70,20,16.75,VU,2021-01-29 22:36:53
35,Aswan,24.0934,32.907,52.14,45,0,8.41,EG,2021-01-29 22:36:53
36,Hamilton,39.1834,-84.5333,32.0,43,20,3.44,US,2021-01-29 22:36:53
37,Hithadhoo,-0.6,73.0833,81.21,76,56,9.78,MV,2021-01-29 22:36:53
38,Elizabeth City,36.2946,-76.2511,33.8,37,1,16.11,US,2021-01-29 22:36:53
39,Maragogi,-9.0122,-35.2225,78.04,83,97,10.31,BR,2021-01-29 22:36:53
40,Gladstone,-23.85,151.25,78.8,65,75,12.66,AU,2021-01-29 22:36:53
41,Aldan,58.6031,125.3894,-38.15,81,100,0.98,RU,2021-01-29 22:36:54
42,Gangtok,27.3333,88.6167,36.41,74,6,6.17,IN,2021-01-29 22:36:54
43,Atuona,-9.8,-139.0333,78.62,76,5,19.53,PF,2021-01-29 22:32:05
44,Codrington,-38.2667,141.9667,61.2,77,100,10.67,AU,2021-01-29 22:36:54
45,Sitka,57.0531,-135.33,37.4,52,90,13.8,US,2021-01-29 22:36:54
46,Guntakal,15.1667,77.3833,66.02,78,17,7.56,IN,2021-01-29 22:36:54
47,Garissa,-0.4536,39.6401,77.27,72,1,9.26,KE,2021-01-29 22:32:26
48,Valparaiso,-33.0393,-71.6273,68.0,77,75,12.66,CL,2021-01-29 22:36:55
49,Batsfjord,70.6345,29.7185,23.0,86,75,2.3,NO,2021-01-29 22:36:55
50,Grindavik,63.8424,-22.4338,32.0,80,75,8.05,IS,2021-01-29 22:33:11
51,Perth,-31.9333,115.8333,68.0,59,0,20.71,AU,2021-01-29 22:36:55
52,Oktyabrskoye,43.0645,44.7417,37.0,93,88,15.66,RU,2021-01-29 22:36:55
53,Port Alfred,-33.5906,26.891,64.99,87,3,1.99,ZA,2021-01-29 22:32:07
54,Qaanaaq,77.484,-69.3632,-14.55,62,0,5.12,GL,2021-01-29 22:36:56
55,Castro,-24.7911,-50.0119,65.46,97,98,2.48,BR,2021-01-29 22:36:56
56,Tuatapere,-46.1333,167.6833,60.1,49,3,3.94,NZ,2021-01-29 22:36:56
57,Dikson,73.5069,80.5464,-32.48,85,99,6.91,RU,2021-01-29 22:36:56
58,Severo-Kurilsk,50.6789,156.125,21.83,92,99,14.32,RU,2021-01-29 22:32:20
59,Bethel,41.3712,-73.414,19.4,45,1,11.5,US,2021-01-29 22:36:56
60,Vestmanna,62.1564,-7.1664,30.2,74,90,4.61,FO,2021-01-29 22:36:56
61,San Patricio,28.017,-97.5169,71.6,56,75,16.11,US,2021-01-29 22:36:56
62,Nikolskoye,59.7035,30.7861,33.01,93,90,8.95,RU,2021-01-29 22:36:57
63,Sabang,5.8933,95.3214,81.66,75,82,20.85,ID,2021-01-29 22:36:57
64,Senanga,-16.1167,23.2667,69.28,93,100,5.41,ZM,2021-01-29 22:36:57
65,Bluff,-46.6,168.3333,53.78,66,78,2.8,NZ,2021-01-29 22:36:57
66,Butaritari,3.0707,172.7902,80.78,74,95,16.71,KI,2021-01-29 22:36:57
67,Laguna,38.421,-121.4238,53.01,71,90,3.44,US,2021-01-29 22:32:34
68,Itoman,26.1247,127.6694,55.4,58,40,9.22,JP,2021-01-29 22:36:57
69,Coari,-4.085,-63.1414,76.42,93,99,2.13,BR,2021-01-29 22:36:58
70,Ribeira Grande,38.5167,-28.7,60.8,77,20,10.36,PT,2021-01-29 22:36:58
71,Kez,57.8979,53.7152,22.87,98,100,8.21,RU,2021-01-29 22:36:58
72,Maraa,-1.8333,-65.3667,80.04,73,35,2.42,BR,2021-01-29 22:36:58
73,Tuktoyaktuk,69.4541,-133.0374,-34.6,67,20,3.44,CA,2021-01-29 22:36:58
74,Seoul,37.5683,126.9778,24.8,54,90,8.05,KR,2021-01-29 22:32:37
75,Bage,-31.3314,-54.1069,80.6,74,0,3.44,BR,2021-01-29 22:36:58
76,Sakakah,29.9697,40.2064,48.2,53,0,14.97,SA,2021-01-29 22:36:58
77,Arraial Do Cabo,-22.9661,-42.0278,82.4,73,0,17.27,BR,2021-01-29 22:34:49
78,Souillac,-20.5167,57.5167,80.6,83,40,8.05,MU,2021-01-29 22:36:59
79,Yulara,-25.2406,130.9889,80.6,50,100,16.11,AU,2021-01-29 22:36:59
80,Aden,12.7794,45.0367,73.72,77,0,11.45,YE,2021-01-29 22:34:06
81,Padang,-0.9492,100.3543,73.4,100,75,2.3,ID,2021-01-29 22:36:59
82,Chiungutwa,-10.8833,38.9833,71.55,94,46,2.26,TZ,2021-01-29 22:36:59
83,Coxim,-18.5067,-54.76,76.41,77,99,4.29,BR,2021-01-29 22:36:59
84,Santa Rosa,14.3122,121.1114,75.2,73,20,3.44,PH,2021-01-29 22:36:59
85,Presidencia Roque Saenz Pena,-26.7852,-60.4388,87.01,63,65,3.0,AR,2021-01-29 22:36:59
86,Kloulklubed,7.0419,134.2556,80.6,69,75,10.36,PW,2021-01-29 22:33:52
87,Omis,43.4447,16.6886,46.4,93,0,5.75,HR,2021-01-29 22:37:00
88,Bubaque,11.2833,-15.8333,78.57,73,0,12.68,GW,2021-01-29 22:37:00
